ISSN,Archive accepted manuscript,Archive published version,Sherpa/Romeo colour,Sherpa/Romeo Licence,Journal,Updated
1531-8257,12 months embargo,cannot,yellow,,Movement Disorders,24/11/2017,
0094-2405,12 months embargo,cannot,yellow,,Medical Physics,24/11/2017,
2473-4209,12 months embargo,cannot,yellow,,Medical Physics,24/11/2017,
1930-7381,12 months embargo,cannot,yellow,,Obesity,24/11/2017,
1930-739X,12 months embargo,cannot,yellow,,Obesity,24/11/2017,
1053-8569,12 months embargo,cannot,yellow,,Pharmacoepidemiology and Drug Safety,24/11/2017,
1099-1557,12 months embargo,cannot,yellow,,Pharmacoepidemiology and Drug Safety,24/11/2017,
0959-8103,12 months embargo,cannot,yellow,,Polymer International,24/11/2017,
1097-0126,12 months embargo,cannot,yellow,,Polymer International,24/11/2017,
0887-3585,12 months embargo,cannot,yellow,,"Proteins: Structure, Function, and Bioinformatics",24/11/2017,
1097-0134,12 months embargo,cannot,yellow,,"Proteins: Structure, Function, and Bioinformatics",24/11/2017,
1526-498X,12 months embargo,cannot,yellow,,Pest Management Science,24/11/2017,
1526-4998,12 months embargo,cannot,yellow,,Pest Management Science,24/11/2017,
2163-8306,can,can,green,CC-BY-NC,CPT: Pharmacometrics & Systems Pharmacology,27/10/2016,
1049-8923,12 months embargo,cannot,yellow,,International Journal of Robust and Nonlinear Control,24/11/2017,
1099-1239,12 months embargo,cannot,yellow,,International Journal of Robust and Nonlinear Control,24/11/2017,
0142-2421,12 months embargo,cannot,yellow,,Surface and Interface Analysis,24/11/2017,
1096-9918,12 months embargo,cannot,yellow,,Surface and Interface Analysis,24/11/2017,
2365-6549,12 months embargo,cannot,yellow,,ChemistrySelect,24/11/2017,
1532-3005,12 months embargo,cannot,yellow,,Stress and Health,24/11/2017,
1532-2998,12 months embargo,cannot,yellow,,Stress and Health,24/11/2017,
2367-198X,,,,,Solar RRL,,
0034-0561,6 months embargo,cannot,white,,The Reading Teacher,22/12/2014,
1936-2714,6 months embargo,cannot,white,,The Reading Teacher,22/12/2014,
1939-5078,12 months embargo,cannot,yellow,,Wiley Interdisciplinary Reviews: Cognitive Science,24/11/2017,
1939-5086,12 months embargo,cannot,yellow,,Wiley Interdisciplinary Reviews: Cognitive Science,24/11/2017,
1939-5094,12 months embargo,cannot,yellow,,Wiley Interdisciplinary Reviews: Systems Biology and Medicine,24/11/2017,
1939-005X,12 months embargo,cannot,yellow,,Wiley Interdisciplinary Reviews: Systems Biology and Medicine,24/11/2017,
1029-8479,can,can,green,CC-BY4.0 ,Journal of High Energy Physics,8/01/2018,
1420-682X,12 months embargo,cannot,green,,Cellular and Molecular Life Sciences,18/10/2018,
1420-9071,12 months embargo,cannot,green,,Cellular and Molecular Life Sciences,18/10/2018,
0378-620X,12 months embargo,cannot,green,,Integral Equations and Operator Theory,16/05/2014,
1420-8989,12 months embargo,cannot,green,,Integral Equations and Operator Theory,16/05/2014,
0033-4553,12 months embargo,cannot,green,,Pure and Applied Geophysics,16/05/2014,
1420-9136,12 months embargo,cannot,green,,Pure and Applied Geophysics,16/05/2014,
1661-8556,12 months embargo,cannot,green,,International Journal of Public Health,16/05/2014,
1661-8564,12 months embargo,cannot,green,,International Journal of Public Health,16/05/2014,
0012-186X,12 months embargo,cannot,green,,Diabetologia,16/05/2014,
1432-0428,12 months embargo,cannot,green,,Diabetologia,16/05/2014,
0026-4598,12 months embargo,cannot,green,,Mineralium Deposita,16/05/2014,
1432-1866,12 months embargo,cannot,green,,Mineralium Deposita,16/05/2014,
0934-9839,12 months embargo,cannot,green,,Research in Engineering Design,16/05/2014,
1435-6066,12 months embargo,cannot,green,,Research in Engineering Design,16/05/2014,
0268-3768,12 months embargo,cannot,green,,The International Journal of Advanced Manufacturing Technology,16/05/2014,
1433-3015,12 months embargo,cannot,green,,The International Journal of Advanced Manufacturing Technology,16/05/2014,
0937-941X,12 months embargo,cannot,green,,Osteoporosis International,18/10/2018,
1433-2965,12 months embargo,cannot,green,,Osteoporosis International,18/10/2018,
0938-2259,12 months embargo,cannot,green,,Economic Theory,18/10/2018,
1432-0479,12 months embargo,cannot,green,,Economic Theory,18/10/2018,
0025-5874,12 months embargo,cannot,green,,Mathematische Zeitschrift,18/10/2018,
1432-1823,12 months embargo,cannot,green,,Mathematische Zeitschrift,18/10/2018,
0033-3158,12 months embargo,cannot,green,,Psychopharmacology,16/05/2014,
1432-2072,12 months embargo,cannot,green,,Psychopharmacology,16/05/2014,
1618-2642,12 months embargo,cannot,green,,Analytical and Bioanalytical Chemistry,18/10/2018,
1618-2650,12 months embargo,cannot,green,,Analytical and Bioanalytical Chemistry,18/10/2018,
0010-3616,12 months embargo,cannot,green,,Communications in Mathematical Physics,18/10/2018,
1432-0916,12 months embargo,cannot,green,,Communications in Mathematical Physics,18/10/2018,
0014-4819,12 months embargo,cannot,green,,Experimental Brain Research,18/10/2018,
1432-1106,12 months embargo,cannot,green,,Experimental Brain Research,18/10/2018,
0171-967X,12 months embargo,cannot,green,,Calcified Tissue International,18/10/2018,
1432-0827,12 months embargo,cannot,green,,Calcified Tissue International,18/10/2018,
1432-4350,12 months embargo,cannot,green,,Theory of Computing Systems,18/10/2018,
1433-0490,12 months embargo,cannot,green,,Theory of Computing Systems,18/10/2018,
0025-3162,12 months embargo,cannot,green,,Marine Biology,18/10/2018,
1432-1793,12 months embargo,cannot,green,,Marine Biology,18/10/2018,
0028-3940,12 months embargo,cannot,green,,Neuroradiology,16/05/2014,
1432-1920,12 months embargo,cannot,green,,Neuroradiology,16/05/2014,
0364-152X,12 months embargo,cannot,green,,Environmental Management,18/10/2018,
1432-1009,12 months embargo,cannot,green,,Environmental Management,18/10/2018,
0364-2313,12 months embargo,cannot,green,,World Journal of Surgery,18/10/2018,
1432-2323,12 months embargo,cannot,green,,World Journal of Surgery,18/10/2018,
0722-4060,12 months embargo,cannot,green,,Polar Biology,16/05/2014,
1432-2056,12 months embargo,cannot,green,,Polar Biology,16/05/2014,
0938-7994,12 months embargo,cannot,green,,European Radiology,16/05/2014,
1432-1084,12 months embargo,cannot,green,,European Radiology,16/05/2014,
0722-4028,12 months embargo,cannot,green,,Coral Reefs,16/05/2014,
1432-0975,12 months embargo,cannot,green,,Coral Reefs,16/05/2014,
0724-4983,12 months embargo,cannot,green,,World Journal of Urology,18/10/2018,
1433-8726,12 months embargo,cannot,green,,World Journal of Urology,18/10/2018,
0176-1714,12 months embargo,cannot,green,,Social Choice and Welfare,16/05/2014,
1432-217X,12 months embargo,cannot,green,,Social Choice and Welfare,16/05/2014,
0936-8051,12 months embargo,cannot,green,,Archives of Orthopaedic and Trauma Surgery,18/10/2018,
1434-3916,12 months embargo,cannot,green,,Archives of Orthopaedic and Trauma Surgery,18/10/2018,
0010-7999,12 months embargo,cannot,green,,Contributions to Mineralogy and Petrology,16/05/2014,
1432-0967,12 months embargo,cannot,green,,Contributions to Mineralogy and Petrology,16/05/2014,
0721-832X,12 months embargo,cannot,green,,Graefe's Archive for Clinical and Experimental Ophthalmology,18/10/2018,
1435-702X,12 months embargo,cannot,green,,Graefe's Archive for Clinical and Experimental Ophthalmology,18/10/2018,
1439-6319,12 months embargo,cannot,green,,European Journal of Applied Physiology,16/05/2014,
1439-6327,12 months embargo,cannot,green,,European Journal of Applied Physiology,16/05/2014,
1863-2653,12 months embargo,cannot,green,,Brain Structure and Function,18/10/2018,
1863-2661,12 months embargo,cannot,green,,Brain Structure and Function,18/10/2018,
0300-8584,12 months embargo,cannot,green,,Medical Microbiology and Immunology,16/05/2014,
1432-1831,12 months embargo,cannot,green,,Medical Microbiology and Immunology,16/05/2014,
0029-8549,12 months embargo,cannot,green,,Oecologia,16/05/2014,
1432-1939,12 months embargo,cannot,green,,Oecologia,16/05/2014,
0258-8900,12 months embargo,cannot,green,,Bulletin of Volcanology,18/10/2018,
1432-0819,12 months embargo,cannot,green,,Bulletin of Volcanology,18/10/2018,
0179-051X,12 months embargo,cannot,green,,Dysphagia,16/05/2014,
1432-0460,12 months embargo,cannot,green,,Dysphagia,16/05/2014,
0930-2794,12 months embargo,cannot,green,,Surgical Endoscopy,16/05/2014,
1432-2218,12 months embargo,cannot,green,,Surgical Endoscopy,16/05/2014,
0931-1890,12 months embargo,cannot,green,,Trees,16/05/2014,
1432-2285,12 months embargo,cannot,green,,Trees,16/05/2014,
1436-3240,12 months embargo,cannot,green,,Stochastic Environmental Research and Risk Assessment,18/10/2018,
1436-3259,12 months embargo,cannot,green,,Stochastic Environmental Research and Risk Assessment,18/10/2018,
0941-4355,12 months embargo,cannot,green,,Supportive Care in Cancer,18/10/2018,
1433-7339,12 months embargo,cannot,green,,Supportive Care in Cancer,18/10/2018,
0940-6719,12 months embargo,cannot,green,,European Spine Journal,16/05/2014,
1432-0932,12 months embargo,cannot,green,,European Spine Journal,16/05/2014,
0949-8257,12 months embargo,cannot,green,,JBIC Journal of Biological Inorganic Chemistry,16/05/2014,
1432-1327,12 months embargo,cannot,green,,JBIC Journal of Biological Inorganic Chemistry,16/05/2014,
1432-9840,12 months embargo,cannot,green,,Ecosystems,16/05/2014,
1435-0629,12 months embargo,cannot,green,,Ecosystems,16/05/2014,
0770-3198,12 months embargo,cannot,green,,Clinical Rheumatology,16/05/2014,
1434-9949,12 months embargo,cannot,green,,Clinical Rheumatology,16/05/2014,
1438-3896,12 months embargo,cannot,green,,Population Ecology,18/10/2018,
1438-390X,12 months embargo,cannot,green,,Population Ecology,18/10/2018,
0256-2928,12 months embargo,cannot,green,,European Journal of Psychology of Education,16/05/2014,
1878-5174,12 months embargo,cannot,green,,European Journal of Psychology of Education,16/05/2014,
1616-7341,12 months embargo,cannot,green,,Ocean Dynamics,16/05/2014,
1616-7228,12 months embargo,cannot,green,,Ocean Dynamics,16/05/2014,
1617-7959,12 months embargo,cannot,green,,Biomechanics and Modeling in Mechanobiology,18/10/2018,
1617-7940,12 months embargo,cannot,green,,Biomechanics and Modeling in Mechanobiology,18/10/2018,
1591-8890,12 months embargo,cannot,green,,Clinical and Experimental Medicine,18/10/2018,
1591-9528,12 months embargo,cannot,green,,Clinical and Experimental Medicine,18/10/2018,
1612-4642,12 months embargo,cannot,green,,European Journal of Wildlife Research,18/10/2018,
1439-0574,12 months embargo,cannot,green,,European Journal of Wildlife Research,18/10/2018,
0567-7718,12 months embargo,cannot,green,,Acta Mechanica Sinica,18/10/2018,
1614-3116,12 months embargo,cannot,green,,Acta Mechanica Sinica,18/10/2018,
0969-6970,12 months embargo,cannot,green,,Angiogenesis,18/10/2018,
1573-7209,12 months embargo,cannot,green,,Angiogenesis,18/10/2018,
1382-4996,12 months embargo,cannot,green,,Advances in Health Sciences Education,18/10/2018,
1573-1677,12 months embargo,cannot,green,,Advances in Health Sciences Education,18/10/2018,
0004-0002,12 months embargo,cannot,green,,Archives of Sexual Behavior,18/10/2018,
1573-2800,12 months embargo,cannot,green,,Archives of Sexual Behavior,18/10/2018,
1570-761X,12 months embargo,cannot,green,,Bulletin of Earthquake Engineering,18/10/2018,
1573-1456,12 months embargo,cannot,green,,Bulletin of Earthquake Engineering,18/10/2018,
1387-3547,12 months embargo,cannot,green,,Biological Invasions,18/10/2018,
1573-1464,12 months embargo,cannot,green,,Biological Invasions,18/10/2018,
0960-3115,12 months embargo,cannot,green,,Biodiversity and Conservation,18/10/2018,
1572-9710,12 months embargo,cannot,green,,Biodiversity and Conservation,18/10/2018,
0167-6806,12 months embargo,cannot,green,,Breast Cancer Research and Treatment,18/10/2018,
1573-7217,12 months embargo,cannot,green,,Breast Cancer Research and Treatment,18/10/2018,
0957-5243,12 months embargo,cannot,green,,Cancer Causes & Control,18/10/2018,
1573-7225,12 months embargo,cannot,green,,Cancer Causes & Control,18/10/2018,
1569-5794,12 months embargo,cannot,green,,The International Journal of Cardiovascular Imaging,16/05/2014,
1573-0743,12 months embargo,cannot,green,,The International Journal of Cardiovascular Imaging,16/05/2014,
0969-0239,12 months embargo,cannot,green,,Cellulose,18/10/2018,
1572-882X,12 months embargo,cannot,green,,Cellulose,18/10/2018,
1566-0621,12 months embargo,cannot,green,,Conservation Genetics,18/10/2018,
1572-9737,12 months embargo,cannot,green,,Conservation Genetics,18/10/2018,
1205-8629,12 months embargo,cannot,green,,Critical Criminology,18/10/2018,
1572-9877,12 months embargo,cannot,green,,Critical Criminology,18/10/2018,
1384-5810,12 months embargo,cannot,green,,Data Mining and Knowledge Discovery,16/05/2014,
1573-756X,12 months embargo,cannot,green,,Data Mining and Knowledge Discovery,16/05/2014,
0163-2116,12 months embargo,cannot,green,,Digestive Diseases and Sciences,18/10/2018,
1573-2568,12 months embargo,cannot,green,,Digestive Diseases and Sciences,18/10/2018,
0963-9292,12 months embargo,cannot,green,,Ecotoxicology,16/05/2014,
1573-3017,12 months embargo,cannot,green,,Ecotoxicology,16/05/2014,
1567-7419,12 months embargo,cannot,green,,Environmental Fluid Mechanics,18/10/2018,
1573-1510,12 months embargo,cannot,green,,Environmental Fluid Mechanics,18/10/2018,
0374-3535,12 months embargo,cannot,green,,Journal of Elasticity,16/05/2014,
1573-2681,12 months embargo,cannot,green,,Journal of Elasticity,16/05/2014,
0167-6369,12 months embargo,cannot,green,,Environmental Monitoring and Assessment,18/10/2018,
1573-2959,12 months embargo,cannot,green,,Environmental Monitoring and Assessment,18/10/2018,
1382-3256,12 months embargo,cannot,green,,Empirical Software Engineering,16/05/2014,
1573-7616,12 months embargo,cannot,green,,Empirical Software Engineering,16/05/2014,
1386-2820,12 months embargo,cannot,green,,Ethical Theory and Moral Practice,16/05/2014,
1572-8447,12 months embargo,cannot,green,,Ethical Theory and Moral Practice,16/05/2014,
0966-3622,12 months embargo,cannot,green,,Feminist Legal Studies,16/05/2014,
1572-8455,12 months embargo,cannot,green,,Feminist Legal Studies,16/05/2014,
0169-3298,12 months embargo,cannot,green,,Surveys in Geophysics,16/05/2014,
1573-0956,12 months embargo,cannot,green,,Surveys in Geophysics,16/05/2014,
1386-9620,12 months embargo,cannot,green,,Health Care Management Science,18/10/2018,
1572-9389,12 months embargo,cannot,green,,Health Care Management Science,18/10/2018,
0885-7458,12 months embargo,cannot,green,,International Journal of Parallel Programming,16/05/2014,
1573-7640,12 months embargo,cannot,green,,International Journal of Parallel Programming,16/05/2014,
0091-0627,12 months embargo,cannot,green,,Journal of Abnormal Child Psychology,18/10/2018,
1573-2835,12 months embargo,cannot,green,,Journal of Abnormal Child Psychology,18/10/2018,
0921-8971,12 months embargo,cannot,green,,Journal of Applied Phycology,16/05/2014,
1573-5176,12 months embargo,cannot,green,,Journal of Applied Phycology,16/05/2014,
1072-5369,12 months embargo,cannot,green,,Journal of Archaeological Method and Theory,16/05/2014,
1573-7764,12 months embargo,cannot,green,,Journal of Archaeological Method and Theory,16/05/2014,
0169-3816,12 months embargo,cannot,green,,Journal of Cross-Cultural Gerontology,16/05/2014,
1573-0719,12 months embargo,cannot,green,,Journal of Cross-Cultural Gerontology,16/05/2014,
0921-0296,12 months embargo,cannot,green,,Journal of Intelligent & Robotic Systems,16/05/2014,
1573-0409,12 months embargo,cannot,green,,Journal of Intelligent & Robotic Systems,16/05/2014,
0160-7715,12 months embargo,cannot,green,,Journal of Behavioral Medicine,18/10/2018,
1573-3521,12 months embargo,cannot,green,,Journal of Behavioral Medicine,18/10/2018,
1387-1307,12 months embargo,cannot,green,,Journal of Clinical Monitoring and Computing,18/10/2018,
1573-2614,12 months embargo,cannot,green,,Journal of Clinical Monitoring and Computing,18/10/2018,
0098-0331,12 months embargo,cannot,green,,Journal of Chemical Ecology,16/05/2014,
1573-1561,12 months embargo,cannot,green,,Journal of Chemical Ecology,16/05/2014,
1573-3602,12 months embargo,cannot,green,,Journal of Gambling Studies,16/05/2014,
1566-4910,12 months embargo,cannot,green,,Journal of Housing and the Built Environment,18/10/2018,
1573-7772,12 months embargo,cannot,green,,Journal of Housing and the Built Environment,18/10/2018,
