issn,journal_title,oa_model,apc,year
1474-0540,Cambridge Archaeological Journal,Hybrid,3070,2019
1754-470X,Cognitive Behaviour Therapist,Hybrid,2920,2019
1469-2171,Contemporary European History,Hybrid,3070,2019
2049-7636,Cambridge Yearbook of European Legal Studies,Hybrid,2980,2019
1481-8035,Canadian Journal of Emergency Medicine,Hybrid,2835,2019
2049-7776,Children Australia,Hybrid,3070,2019
1710-1107,Canadian Journal on Aging / La Revue canadienne du vieillissement,Hybrid,1095,2019
2056-4260,Canadian Journal of Law and Jurisprudence,Hybrid,3070,2019
1496-4279,Canadian Journal of Mathematics,Hybrid,2000,2019
2057-0155,Canadian Journal of Neurological Sciences,Hybrid,2100,2019
1744-9324,Canadian Journal of Political Science/Revue canadienne de science politique,Hybrid,2980,2019
1469-2139,Cambridge Law Journal,Hybrid,2980,2019
1471-8030,Clay Minerals,Hybrid,3070,2019
1911-0227,Canadian Journal of Law and Society / La Revue Canadienne Droit et Societe,Hybrid,3070,2019
1710-1115,Canadian Journal of Linguistics,Hybrid,2980,2019
2165-6509,CNS Spectrums,Hybrid,3070,2019
1570-5846,Compositio Mathematica,Hybrid,2950,2019
1469-218X,Continuity and Change,Hybrid,3070,2019
1469-2163,"Combinatorics, Probability and Computing",Hybrid,3070,2019
1469-2147,Cambridge Quarterly of Healthcare Ethics,Hybrid,3070,2019
1468-2648,China Quarterly ,Hybrid,3070,2019
2398-676X,International Annals of Criminology,Hybrid,1150,2019
1475-2999,Comparative Studies in Society and History,Hybrid,2980,2019
1467-1107,Cardiology in the Young,Hybrid,3070,2019
1925-0169,Canadian Yearbook of International Law,Hybrid,3070,2019
1469-7629,Journal of Dairy Research ,Hybrid,2980,2019
2054-0906,Journal of Demographic Economics,Hybrid,2980,2019
1938-744X,Disaster Medicine and Public Health Preparedness,Hybrid,2835,2019
2040-1752,Journal of Developmental Origins of Health and Disease,Hybrid,2980,2019
1469-2198,Development and Psychopathology,Hybrid,3070,2019
1940-509X,Dance Research Journal ,Hybrid,3070,2019
1741-2722,European Journal of Archaeology,Hybrid,2920,2019
1469-4441,Experimental Agriculture ,Hybrid,3070,2019
1474-0028,Economics & Philosophy,Hybrid,3070,2019
1469-7637,Journal of Ecclesiastical History,Hybrid,3070,2019
1744-5515,European Constitutional Law Review,Hybrid,3070,2019
1478-5714,Eighteenth-Century Music,Hybrid,3070,2019
1469-4360,Econometric Theory,Hybrid,3070,2019
1469-4395,Environment and Development Economics,Hybrid,3070,2019
1839-2504,Australian Educational and Developmental Psychologist,Hybrid,2980,2019
1747-7093,Ethics & International Affairs,Hybrid,2980,2019
2057-5645,European Journal of International Security,Hybrid,2980,2019
1474-0036,Edinburgh Journal of Botany,Hybrid,2980,2019
1469-4425,European Journal of Applied Mathematics,Hybrid,3070,2019
1751-8539,Ecclesiastical Law Journal,Hybrid,2980,2019
1469-4379,English Language & Linguistics,Hybrid,3070,2019
1474-0559,Early Music History,Hybrid,3070,2019
1469-4387,Environmental Conservation,Hybrid,3070,2019
1474-0567,English Today,Hybrid,3070,2019
1750-0117,Episteme,Hybrid,3070,2019
1755-7747,European Political Science Review,Hybrid,2980,2019
2045-7979,Epidemiology and Psychiatric Sciences,Hybrid,3070,2019
1462-3994,Expert Reviews in Molecular Medicine,Hybrid,3070,2019
2190-8249,European Journal of Risk Regulation,Hybrid,3070,2019
1474-0575,European Review,Hybrid,2835,2019
1467-2235,Enterprise & Society,Hybrid,3070,2019
1469-4417,Ergodic Theory and Dynamical Systems,Hybrid,3070,2019
1474-0583,European Journal of Sociology / Archives Européennes de Sociologie,Hybrid,2980,2019
1474-0052,Financial History Review,Hybrid,3070,2019
1469-7645,Journal of Fluid Mechanics ,Hybrid,3070,2019
1469-5065,Fetal and Maternal Medicine Review,Hybrid,3070,2019
2045-3825,Global Constitutionalism,Hybrid,3070,2019
1469-5081,Geological Magazine ,Hybrid,3070,2019
1469-509X,Glasgow Mathematical Journal,Hybrid,3070,2019
1477-7053,Government and Opposition,Hybrid,2980,2019
1744-134X,"Health Economics, Policy and Law",Hybrid,3070,2019
1748-5959,History of Education Quarterly,Hybrid,3070,2019
1558-2744,History in Africa,Hybrid,2980,2019
1469-5103,Historical Journal,Hybrid,3070,2019
1559-6834,Infection Control & Hospital Epidemiology,Hybrid,2980,2019
1834-4887,International Journal of Disability Management,Hybrid,2980,2019
2056-4139,Irish Historical Studies,Hybrid,3070,2019
1475-3006,International Journal of Astrobiology,Hybrid,3070,2019
1744-5531,International Journal of Law in Context,Hybrid,3070,2019
1471-6895,International & Comparative Law Quarterly,Hybrid,3070,2019
1471-6445,International Labor and Working-Class History,Hybrid,2980,2019
1939-747X,Invasive Plant Science and Management,Hybrid,2500,2019
1469-7661,Journal of the International Neuropsychological Society,Hybrid,2980,2019
1752-9727,International Theory,Hybrid,3070,2019
1754-9434,Industrial and Organizational Psychology,Hybrid,3070,2019
1475-3502,Journal of the International Phonetic Association,Hybrid,3070,2019
1741-203X,International Psychogeriatrics ,Hybrid,2980,2019
2051-6967,Irish Journal of Psychological Medicine,Hybrid,2980,2019
2057-4908,Italian Political Science Review,Hybrid,3070,2019
1607-5889,International Review of the Red Cross,Hybrid,3070,2019
1469-512X,International Review of Social History,Hybrid,3070,2019
2047-9336,Israel Law Review,Hybrid,2920,2019
2041-2827,Itinerario,Hybrid,3070,2019
1464-3731,Journal of African Law,Hybrid,3070,2019
2049-257X,Journal of Applied Animal Nutrition,Hybrid,2835,2019
1446-8107,Journal of the Australian Mathematical Society,Hybrid,1500,2019
1469-7599,Journal of Biosocial Science,Hybrid,3070,2019
2059-1640,Journal of Chinese History,Hybrid,3070,2019
1469-7602,Journal of Child Language,Hybrid,3070,2019
2234-6643,Journal of East Asian Studies,Hybrid,3070,2019
1471-6372,Journal of Economic History,Hybrid,2980,2019
1474-0079,Journal of French Language Studies,Hybrid,3070,2019
1469-7653,Journal of Functional Programming,Hybrid,3070,2019
1943-3557,Journal of the Gilded Age and Progressive Era,Hybrid,3070,2019
1740-0236,Journal of Global History,Hybrid,3070,2019
1475-3014,Journal of Germanic Linguistics,Hybrid,2980,2019
1475-2697,Journal of Helminthology ,Hybrid,3070,2019
2049-7784,Australian Journal of Indigenous Education,Hybrid,2920,2019
1474-0060,Japanese Journal of Political Science,Hybrid,3070,2019
2049-7547,Journal of Linguistic Geography,Hybrid,3070,2019
2331-4117,International Journal of Legal Information,Hybrid,2980,2019
1748-5460,Journal of Laryngology & Otology ,Hybrid,2980,2019
2163-3088,Journal of Law and Religion,Hybrid,2980,2019
1475-3030,Journal of the Institute of Mathematics of Jussieu,Hybrid,3070,2019
1839-3527,Journal of Management & Organization,Hybrid,2980,2019
2044-5326,Journal of Materials Research,Hybrid,2980,2019
1744-1382,Journal of Institutional Economics,Hybrid,2980,2019
1811-8216,Journal of Mechanics,Hybrid,2835,2019
1937-2337,Journal of Paleontology,Hybrid,2060,2019
1469-2112,British Journal of Political Science,Hybrid,3070,2019
1474-0591,Journal of the Royal Asiatic Society,Hybrid,2980,2019
1467-1131,Journal of Radiotherapy in Practice,Hybrid,3070,2019
1838-0956,Journal of Relationships Research,Hybrid,3070,2019
1834-2612,Journal of Smoking Cessation,Hybrid,3070,2019
1833-6914,Australasian Journal of Inclusive and Special Education,Hybrid,2980,2019
1469-7823,Journal of Social Policy,Hybrid,3070,2019
1742-7592,International Journal of Tropical Insect Science ,Hybrid,2835,2019
1838-9902,Journal of Tropical Psychology,Hybrid,3070,2019
1469-8005,Knowledge Engineering Review,Hybrid,3070,2019
1548-2456,Latin American Politics and Society,Hybrid,3070,2019
2325-5080,Latin American Antiquity,Hybrid,2835,2019
1469-767X,Journal of Latin American Studies,Hybrid,3070,2019
1866-9859,Language and Cognition,Hybrid,3070,2019
1469-8048,Legal Theory,Hybrid,3070,2019
1096-1135,Lichenologist ,Hybrid,3070,2019
1741-2021,Legal Information Management,Hybrid,2980,2019
1469-7742,Journal of Linguistics,Hybrid,3070,2019
1478-9698,Leiden Journal of International Law,Hybrid,3070,2019
1469-803X,Laser and Particle Beams,Hybrid,3070,2019
1748-121X,Legal Studies,Hybrid,3070,2019
1469-8013,Language in Society,Hybrid,3070,2019
1475-3049,Language Teaching,Hybrid,3070,2019
1469-8021,Language Variation and Change,Hybrid,3070,2019
2397-1851,Modern American History,Hybrid,3070,2019
1435-8115,Microscopy and Microanalysis,Hybrid,2980,2019
1469-7769,Journal of the Marine Biological Association of the United Kingdom ,Hybrid,2980,2019
2048-8343,Medical History,Hybrid,3070,2019
1469-8056,Macroeconomic Dynamics,Hybrid,3070,2019
1471-6380,International Journal of Middle East Studies,Hybrid,3070,2019
1471-8022,Mineralogical Magazine,Hybrid,3070,2019
1479-2451,Modern Intellectual History,Hybrid,3070,2019
1469-9877,Modern Italy,Hybrid,3070,2019
1469-7777,Journal of Modern African Studies,Hybrid,3070,2019
1740-8784,Management and Organization Review,Hybrid,3070,2019
2159-6867,MRS Communications,Hybrid,2980,2019
2329-2237,MRS Energy & Sustainability,Hybrid,2980,2019
1759-0795,International Journal of Microwave and Wireless Technologies,Hybrid,1700,2019
1938-1425,MRS Bulletin,Hybrid,2980,2019
1469-8072,Mathematical Structures in Computer Science,Hybrid,3070,2019
2041-7942,Mathematika,Hybrid,2400,2019
1469-7785,Journal of Navigation,Hybrid,2835,2019
2044-8414,Nineteenth-Century Music Review,Hybrid,3070,2019
1601-5215,Acta Neuropsychiatrica,Hybrid,2980,2019
1502-4717,Nordic Journal of Linguistics,Hybrid,3070,2019
1469-8110,Natural Language Engineering,Hybrid,3070,2019
2152-6842,Nagoya Mathematical Journal,Hybrid,3070,2019
1305-3299,New Perspectives on Turkey,Hybrid,3070,2019
1475-2700,Nutrition Research Reviews,Hybrid,3070,2019
1474-0613,New Theatre Quarterly,Hybrid,3070,2019
1469-8145,New Testament Studies,Hybrid,3070,2019
2050-1250,Network Science,Hybrid,3070,2019
1474-0621,Cambridge Opera Journal,Hybrid,3070,2019
1365-3008,Oryx,Hybrid,2980,2019
1469-8153,Organised Sound,Hybrid,3070,2019
1938-5331,Paleobiology,Hybrid,2060,2019
1476-4989,Political Analysis,Hybrid,3070,2019
1469-8161,Parasitology,Hybrid,3070,2019
1448-6083,Publications of the Astronomical Society of Australia,Hybrid,2920,2019
1478-9523,Palliative & Supportive Care,Hybrid,3070,2019
1945-1938,Prehospital and Disaster Medicine,Hybrid,2980,2019
1475-3022,Journal of Pension Economics & Finance,Hybrid,3070,2019
1464-3839,Proceedings of the Edinburgh Mathematical Society,Hybrid,3070,2019
1469-8951,Probability in the Engineering and Informational Sciences,Hybrid,3070,2019
1479-263X,Plant Genetic Resources,Hybrid,2920,2019
1475-2727,Public Health Nutrition,Hybrid,3070,2019
1469-8188,Phonology ,Hybrid,3070,2019
1469-7807,Journal of Plasma Physics,Hybrid,3070,2019
2052-2622,Cambridge Journal of Postcolonial Literary Inquiry,Hybrid,3070,2019
1474-0087,Plainsong & Medieval Music,Hybrid,3070,2019
1474-0095,Popular Music,Hybrid,3070,2019
1475-2719,Proceedings of the Nutrition Society,Hybrid,3070,2019
1475-3057,Polar Record,Hybrid,3070,2019
2050-2729,Proceedings of the Prehistoric Society,Hybrid,3070,2019
1541-0986,Perspectives on Politics,Hybrid,2980,2019
1473-7124,Proceedings of the Royal Society of Edinburgh Section A: Mathematics,Hybrid,2920,2019
1537-5935,PS: Political Science & Politics,Hybrid,2980,2019
1469-8978,Psychological Medicine ,Hybrid,3070,2019
1537-5943,American Political Science Review,Hybrid,2980,2019
1469-7815,Journal of Public Policy,Hybrid,3070,2019
1469-8994,Quarterly Reviews of Biophysics,Hybrid,3070,2019
2049-7792,Queensland Review,Hybrid,3070,2019
1096-0287,Quaternary Research,Hybrid,2835,2019
1742-1713,Renewable Agriculture and Food Systems,Hybrid,3070,2019
2049-8489,Political Science Research and Methods,Hybrid,2980,2019
1755-0491,Politics and Religion ,Hybrid,2980,2019
1945-5755,Radiocarbon,Hybrid,1575,2019
1474-0109,ReCALL,Hybrid,3070,2019
1469-901X,Religious Studies,Hybrid,3070,2019
2041-3335,Revista de Historia Economica - Journal of Iberian and Latin American Economic History,Hybrid,3070,2019
1474-0648,Transactions of the Royal Historical Society ,Hybrid,3070,2019
1469-9044,Review of International Studies,Hybrid,2980,2019
1469-8668,Robotica,Hybrid,3070,2019
1474-0656,Rural History,Hybrid,3070,2019
1752-1971,Journal of the Society for American Music,Hybrid,2835,2019
1469-8692,Studies in American Political Development,Hybrid,3070,2019
1474-0664,Science in Context,Hybrid,3070,2019
1988-2904,The Spanish Journal of Psychology,Hybrid,2835,2019
1475-3065,Scottish Journal of Theology,Hybrid,3070,2019
1470-1545,Studies in Second Language Acquisition,Hybrid,3070,2019
2325-7784,Slavic Review,Hybrid,2980,2019
1471-6437,Social Philosophy and Policy,Hybrid,3070,2019
1475-3073,Social Policy and Society,Hybrid,3070,2019
1527-8034,Social Science History,Hybrid,3070,2019
1475-2735,Seed Science Research,Hybrid,3070,2019
2059-0644,Studies in Church History,Hybrid,3070,2019
1918-3240,Canadian Entomologist,Hybrid,2835,2019
1478-5730,Twentieth-Century Music,Hybrid,3070,2019
2047-1033,Transnational Environmental Law ,Hybrid,3070,2019
1478-2286,Tempo,Hybrid,3070,2019
1471-6348,International Journal of Technology Assessment in Health Care,Hybrid,3070,2019
1839-2628,Twin Research and Human Genetics,Hybrid,483,2019
1475-3081,Theory and Practice of Logic Programming,Hybrid,3070,2019
1755-6929,Earth and Environmental Science Transactions of The Royal Society of Edinburgh,Hybrid,3070,2019
1469-7831,Journal of Tropical Ecology,Hybrid,3070,2019
1469-8706,Urban History,Hybrid,3070,2019
1741-6183,Utilitas,Hybrid,3070,2019
1470-1553,Victorian Literature and Culture,Hybrid,3070,2019
1469-8714,Visual Neuroscience,Hybrid,3070,2019
1550-2740,Weed Technology,Hybrid,2500,2019
1743-4777,World's Poultry Science Journal,Hybrid,2835,2019
2052-8418,Wireless Power Transfer,Hybrid,1730,2019
1550-2759,Weed Science,Hybrid,2500,2019
1475-3138,World Trade Review,Hybrid,3070,2019
1469-8730,Zygote,Hybrid,3070,2019
2056-7405,Journal of Agricultural and Applied Economics,Open Access,1620,2019
2372-2614,Agriculture and Resource Economics Review,Open Access,1575,2019
2398-7723,AJIL Unbound,Open Access,0,2019
1727-5644,Annals of Glaciology,Open Access,1762,2019
2044-0456,British Actuarial Journal,Open Access,0,2019
2056-4708,BJPsych Bulletin,Open Access,0,2019
2058-6264,BJPsych International,Open Access,0,2019
2056-4724,BJPsych Open,Open Access,1650,2019
2056-354X,BJHS Themes,Open Access,2920,2019
2059-8661,Journal of Clinical and Translational Science,Open Access,1750,2019
2632-3249,Data & Policy,Open Access,1600,2019
2632-6736,Data-Centric Engineering,Open Access,1600,2019
2053-4701,Design Science,Open Access,1620,2019
2513-843X,Evolutionary Human Sciences,Open Access,1750,2019
2516-712X,Experimental Results,Open Access,880,2019
2050-5086,"Forum of Mathematics, Pi",Open Access,1000,2019
2050-5094,"Forum of Mathematics, Sigma",Open Access,1000,2019
2054-4200,"Global Health, Epidemiology and Genomics",Open Access,3070,2019
2071-8322,German Law Journal,Open Access,0,2019
2054-4251,Global Mental Health,Open Access,1815,2019
1469-5073,Genetics Research,Open Access,3070,2019
2095-4719,High Power Laser Science and Engineering ,Open Access,1950,2019
1469-4409,Epidemiology & Infection,Open Access,3070,2019
2058-6310,Journal of Classics Teaching,Open Access,0,2019
2048-6790,Journal of Nutritional Science,Open Access,1760,2019
1727-5652,Journal of Glaciology,Open Access,1762,2019
1573-9708,Netherlands Journal of Geosciences,Open Access,2980,2019
2055-7094,Parasitology Open,Open Access,2595,2019
2513-9886,Personality Neuroscience (new launch 2018),Open Access,1005,2019
1477-1128,Primary Health Care Research & Development,Open Access,3070,2019
1834-4909,Journal of Pacific Rim Psychology,Open Access,0,2019
2048-7703,APSIPA Transactions on Signal and Information Processing,Open Access,650,2019
2059-4798,Global Sustainability,Open Access,0,2019
2631-7176,Wearable Technologies,Open Access,2030,2019
1778-3585,European Psychiatry,Open Access,2500,2020
2633-2892 ,QRB Discovery,Open Access,3160,2020
1558-5255,Austrian History Yearbook ,Hybrid,3160,2020
2048-0849,Anatolian Studies,Hybrid,3160,2020
2041-4102,Archaeological Reports,Hybrid,3160,2020
2153-3326,Business Ethics Quarterly,Hybrid,3070,2020
2044-768X,Business History Review,Hybrid,3070,2020
1753-5352,Britannia,Hybrid,3160,2020
1943-5894,Bulletin of Symbolic Logic,Hybrid,3160,2020
1471-6844,Classical Quarterly,Hybrid,3160,2020
1464-3561,Classical Review,Hybrid,3160,2020
1569-1616,Central European History,Hybrid,3160,2020
2047-993X,Cambridge Classical Journal,Hybrid,3160,2020
1755-2613,Church History,Hybrid,3160,2020
1759-0949,Dialogue: Canadian Philosophical Review / Revue canadienne de philosophie,Hybrid,3160,2020
1477-4550,Greece & Rome,Hybrid,3160,2020
1469-9656,Journal of the History of Economic Thought,Hybrid,3160,2020
2051-5375,Hegel Bulletin,Hybrid,3160,2020
1743-9221,Proceedings of the International Astronomical Union ,Hybrid,2550,2020
1545-6986,Journal of British Studies,Hybrid,3160,2020
1465-7317,International Journal of Cultural Property,Hybrid,3160,2020
1756-6916,Journal of Financial and Quantitative Analysis,Hybrid,3160,2020
2041-4099,Journal of Hellenic Studies,Hybrid,3160,2020
1753-528X,Journal of Roman Studies,Hybrid,3160,2020
1943-5886,Journal of Symbolic Logic,Hybrid,3160,2020
1931-437X,Journal of Wine Economics ,Hybrid,3160,2020
2044-2394,Kantian Review,Hybrid,3160,2020
2052-6148,Libyan Studies,Hybrid,3160,2020
1743-9248,Politics & Gender,Hybrid,2980,2020
1945-7413,Powder Diffraction,Hybrid,2980,2020
1471-5457,Politics and the Life Sciences,Hybrid,3070,2020
1469-8064,Mathematical Proceedings of the Cambridge Philosophical Society,Hybrid,3160,2020
2056-6085,"Journal of Race, Ethnicity and Politics",Hybrid,2980,2020
1748-6858,Review of Politics,Hybrid,3160,2020
1755-0211,Review of Symbolic Logic,Hybrid,3160,2020
1533-6247,The Americas,Hybrid,3160,2020
1474-0672,Theatre Research International,Hybrid,3160,2020
2052-2649,Journal of Experimental Political Science,Hybrid,2980,2020
1876-2859,Academic Pediatrics,Hybrid,3000,2018
1076-6332,Academic Radiology,Hybrid,2750,2018
0001-4575,Accident Analysis and Prevention,Hybrid,3550,2018
0155-9982,Accounting Forum,Hybrid,1100,2018
0361-3682,"Accounting, Organizations and Society",Hybrid,1800,2018
0094-5765,Acta Astronautica,Hybrid,2950,2018
1742-7061,Acta Biomaterialia,Hybrid,3000,2018
1872-2032,Acta Ecologica Sinica,Hybrid,3000,2018
0065-1281,Acta Histochemica,Hybrid,1800,2018
1359-6454,Acta Materialia,Hybrid,3000,2018
0252-9602,Acta Mathematica Scientia,Hybrid,3000,2018
1146-609X,Acta Oecologica,Hybrid,2500,2018
2173-5735,Acta Otorrinolaringologica (English Edition),Hybrid,3000,2018
0001-6519,Acta Otorrinolaringologica Espanola,Hybrid,3000,2018
2211-3835,Acta Pharmaceutica Sinica B,Open Access,0,2018
0001-6918,Acta Psychologica,Hybrid,1800,2018
0001-706X,Acta Tropica,Hybrid,2350,2018
0001-7310,Actas dermosifiliograficas,Hybrid,3000,2018
1578-2190,Actas Dermo-Sifiliográficas (English Edition),Hybrid,3000,2018
0210-4806,Actas Urologicas Espanolas,Hybrid,3000,2018
2173-5786,Actas Urológicas Españolas (English Edition),Hybrid,3000,2018
0515-3700,Actualités pharmaceutiques,Hybrid,3000,2018
1570-8705,Ad Hoc Networks,Hybrid,2400,2018
0306-4603,Addictive Behaviors,Hybrid,2400,2018
2352-8532,Addictive Behaviors Reports,Open Access,1500,2018
2214-8604,Additive Manufacturing,Hybrid,1750,2018
0169-409X,Advanced Drug Delivery Reviews,Hybrid,3750,2018
1474-0346,Advanced Engineering Informatics,Hybrid,2400,2018
0921-8831,Advanced Powder Technology,Hybrid,2800,2018
0882-6110,Advances in Accounting,Hybrid,1100,2018
0737-6146,Advances in Anesthesia,Hybrid,3000,2018
0196-8858,Advances in Applied Mathematics,Hybrid,1500,2018
2212-4926,Advances in Biological Regulation,Hybrid,2200,2018
1548-5595,Advances in Chronic Kidney Disease,Hybrid,2500,2018
1674-9278,Advances in Climate Change Research,Open Access,1500,2018
0001-8686,Advances in Colloid and Interface Science,Hybrid,3300,2018
0965-9978,Advances in Engineering Software,Hybrid,2500,2018
2212-9588,Advances in Integrative Medicine,Hybrid,3000,2018
1040-2608,Advances in Life Course Research,Hybrid,1100,2018
0001-8708,Advances in Mathematics,Hybrid,1500,2018
1896-1126,Advances in Medical Sciences,Hybrid,1200,2018
0065-3101,Advances in Pediatrics,Hybrid,3000,2018
2452-1094,Advances in Radiation Oncology,Open Access,2000,2018
1041-7826,Advances in Small Animal Medicine and Surgery,Hybrid,3000,2018
0273-1177,Advances in Space Research,Hybrid,2600,2018
0065-3411,Advances in Surgery,Hybrid,3000,2018
0309-1708,Advances in Water Resources,Hybrid,3750,2018
1875-9637,Aeolian Research,Hybrid,2500,2018
1270-9638,Aerospace Science and Technology,Hybrid,2500,2018
1434-8411,AEUE - International Journal of Electronics and Communications,Hybrid,1800,2018
2211-419X,African Journal of Emergency Medicine,Open Access,0,2018
1110-5704,African Journal of Urology,Open Access,0,2018
1568-1637,Ageing Research Reviews,Hybrid,3000,2018
1359-1789,Aggression and Violent Behavior,Hybrid,1800,2018
2352-2151,Agri Gene,Hybrid,1500,2018
0168-1923,Agricultural and Forest Meteorology,Hybrid,3950,2018
0308-521X,Agricultural Systems,Hybrid,3800,2018
0378-3774,Agricultural Water Management,Hybrid,2700,2018
0167-8809,"Agriculture, Ecosystems and Environment",Hybrid,3850,2018
2090-4479,Ain Shams Engineering Journal,Open Access,0,2018
1067-991X,Air Medical Journal,Hybrid,3000,2018
0196-6553,AJIC: American Journal of Infection Control,Hybrid,1850,2018
0972-8600,AKCE International Journal of Graphs and Combinatorics,Open Access,0,2018
0741-8329,Alcohol,Hybrid,2500,2018
1110-0168,Alexandria Engineering Journal,Open Access,0,2018
2090-5068,Alexandria Journal of Medicine,Open Access,0,2018
2211-9264,Algal Research,Hybrid,2600,2018
0301-0546,Allergologia et Immunopathologia,Hybrid,3000,2018
1323-8930,Allergology International,Open Access,0,2018
1875-0672,"Alter - European Journal of Disability research, Revue européenne de recherche sur le handicap",Hybrid,3000,2018
2352-8729,"Alzheimer's and Dementia: Diagnosis, Assessment and Disease Monitoring",Open Access,2000,2018
1552-5260,Alzheimer's and Dementia: The Journal of the Alzheimer's Association,Hybrid,3000,2018
2352-8737,Alzheimer's and Dementia: Translational Research and Clinical Interventions,Open Access,2000,2018
0002-8703,American Heart Journal,Hybrid,3200,2018
0735-6757,American Journal of Emergency Medicine,Hybrid,2550,2018
0735-6757,American Journal of Kidney Diseases,Hybrid,3000,2018
0002-9378,American Journal of Obstetrics and Gynecology,Hybrid,3700,2018
0002-9394,American Journal of Ophthalmology,Hybrid,3400,2018
2451-9936,American Journal of Ophthalmology Case Reports,Open Access,750,2018
0889-5406,American Journal of Orthodontics and Dentofacial Orthopedics,Hybrid,3000,2018
0196-0709,American Journal of Otolaryngology--Head and Neck Medicine and Surgery,Hybrid,2500,2018
0749-3797,American Journal of Preventive Medicine,Hybrid,2600,2018
2215-0390,Ampersand,Open Access,1000,2018
1075-9964,Anaerobe,Hybrid,1750,2018
1472-0299,Anaesthesia and Intensive Care Medicine,Hybrid,3000,2018
1695-4033,Anales de Pediatria,Hybrid,3000,2018
2213-6657,Analytic Methods in Accident Research,Hybrid,1800,2018
0003-2670,Analytica Chimica Acta,Hybrid,3500,2018
0003-2697,Analytical Biochemistry,Hybrid,3300,2018
2214-1812,Analytical Chemistry Research,Open Access,1500,2018
1932-2275,Anesthesiology Clinics,Hybrid,3000,2018
0003-3170,Angiología,Hybrid,3000,2018
0003-3472,Animal Behaviour,Hybrid,2600,2018
0377-8401,Animal Feed Science and Technology,Hybrid,2600,2018
2405-6545,Animal Nutrition,Open Access,0,2018
0378-4320,Animal Reproduction Science,Hybrid,2500,2018
0003-3928,Annales de cardiologie et d'angéiologie,Hybrid,3000,2018
0294-1260,Annales de chirurgie plastique esthétique,Hybrid,3000,2018
0151-9638,Annales de Dermatologie et de Vénéréologie,Hybrid,3000,2018
0294-1449,Annales de l'Institut Henri Poincaré / Analyse non linéaire,Hybrid,700,2018
